name,degree in,degree in/degree out,favourite
Pada_Sweat16,882,58.8,349
Proud_Sweat16,1243,21.43103448275862,4479
Ant_Sweat16,1096,57.68421052631579,932
Petch_Sweat16,1147,37.0,2115
Ae_Sweat16,1190,13.67816091954023,9121
anny_sweat16,941,62.733333333333334,829
MahnmookSweat16,2669,68.43589743589743,3553
Mint_Sweat16,1516,50.53333333333333,940
Pim_Sweat16,1467,20.957142857142856,3432
Sonja_Sweat16,1475,37.82051282051282,2460
Music_Sweat16,1545,31.53061224489796,3402
Fame_Sweat16,1099,16.402985074626866,6414
Nink_Sweat16,1144,47.666666666666664,2773
